game,model,experiment,metric,mean,std,var,median,max,min,skew
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Average Char Count A,115.96600000000001,26.40496973425015,697.2224266666665,118.83,162.0,73.33,0.20596225921565073
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Average Char Count B,267.55,83.42676429060401,6960.025,248.75,462.0,194.0,1.4816474494824172
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Average Sentence Count A,9.681999999999999,1.6934435659658422,2.867751111111108,9.5,13.78,8.22,1.6972109231624075
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Average Sentence Count B,14.636000000000001,2.1992129905440665,4.836537777777776,15.129999999999999,17.75,10.85,-0.3756142609481704
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Average Word Count A,21.177,4.945044770047868,24.453467777777778,20.665,31.0,13.67,0.6397404610958193
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Average Word Count B,47.7,14.606315224739074,213.34444444444446,44.25,84.0,33.5,1.891857875928991
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Conversational turns A,3.1,0.7378647873726218,0.5444444444444445,3.0,5.0,2.0,1.9084299581774173
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Conversational turns B,2.1,0.7378647873726218,0.5444444444444445,2.0,4.0,1.0,1.9084299581774173
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,JSON Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Lose,0.3,0.48304589153964794,0.23333333333333334,0.0,1.0,0.0,1.035098339013531
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Main Score,80.66666666666666,33.18857456236229,1101.4814814814813,99.0,100.0,0.0,-1.9567069971807522
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Parsed Request Count,7.3,2.2135943621178655,4.9,7.0,13.0,4.0,1.9084299581774187
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Played,1.0,0.0,0.0,1.0,1.0,1.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Request Count,7.3,2.2135943621178655,4.9,7.0,13.0,4.0,1.9084299581774187
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Request Success Ratio,1.0,0.0,0.0,1.0,1.0,1.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Success,0.7,0.48304589153964794,0.23333333333333334,1.0,1.0,0.0,-1.035098339013531
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Summarisation Penatly,1.2,1.8135294011647258,3.2888888888888888,1.0,6.0,0.0,2.4254631029547404
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Task Success Rate,0.8166666666666667,0.3374742788552765,0.1138888888888889,1.0,1.0,0.0,-1.939322744641267
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Text Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,Violated Request Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,0_no-reprompt_5db,n Turns,3.1,0.7378647873726218,0.5444444444444445,3.0,5.0,2.0,1.9084299581774173
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Average Char Count A,127.99600000000001,29.05592393223034,844.2467155555557,119.83500000000001,193.8,101.33,1.5940461215306365
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Average Char Count B,299.543,78.07613834513646,6095.883378888887,294.55,438.0,188.5,0.38297389879597
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Average Sentence Count A,10.998000000000001,3.6876424266279764,13.598706666666668,9.57,20.12,7.88,1.9811998800059796
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Average Sentence Count B,18.130000000000003,4.80232813909624,23.062355555555555,16.625,30.47,14.0,2.168019876828135
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Average Word Count A,23.162,5.275380554993166,27.829640000000005,21.25,35.2,18.0,1.5845496871225895
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Average Word Count B,54.053,14.432605100951106,208.30008999999987,52.6,85.0,36.5,0.9737858082983756
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Conversational turns A,3.7,2.3118054512532935,5.344444444444445,3.0,10.0,2.0,2.6817067137821793
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Conversational turns B,2.8,2.6161889160464775,6.844444444444444,2.0,10.0,1.0,2.7848578674984537
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,JSON Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Lose,0.6,0.5163977794943222,0.26666666666666666,1.0,1.0,0.0,-0.48412291827592707
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Main Score,76.1,30.38845216017687,923.4580246913582,82.33333333333333,100.0,0.0,-1.9794331711157758
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Parsed Request Count,9.3,7.543208866258444,56.89999999999999,7.0,30.0,4.0,2.7543717500535054
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Played,1.0,0.0,0.0,1.0,1.0,1.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Request Count,9.3,7.543208866258444,56.89999999999999,7.0,30.0,4.0,2.7543717500535054
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Request Success Ratio,1.0,0.0,0.0,1.0,1.0,1.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Success,0.4,0.5163977794943222,0.26666666666666666,0.0,1.0,0.0,0.48412291827592707
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Summarisation Penatly,1.4,2.503331114069145,6.266666666666667,0.0,6.0,0.0,1.5553743567496159
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Task Success Rate,0.775,0.30944494314741383,0.09575617283950619,0.8333333333333333,1.0,0.0,-2.00444676289161
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Text Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,Violated Request Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,1_no-reprompt_20db,n Turns,3.8,2.6161889160464775,6.844444444444444,3.0,11.0,2.0,2.7848578674984537
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Average Char Count A,106.724,18.80895247836342,353.7766933333334,99.46000000000001,140.0,87.33,0.6132392264930783
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Average Char Count B,241.63299999999998,51.43032180641213,2645.078001111111,237.5,339.0,188.0,0.698009655048028
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Average Sentence Count A,9.953999999999999,1.191247711901732,1.4190711111111118,9.815,11.83,7.94,-0.151729790822271
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Average Sentence Count B,15.037,2.8927843181113784,8.368201111111112,14.5,21.08,11.53,0.8429475871039663
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Average Word Count A,19.768,3.778302970029445,14.275573333333325,18.875,27.0,14.67,0.6082399198567743
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Average Word Count B,43.649,10.318401523491902,106.46941,41.25,66.33,33.0,1.1719228563352282
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Conversational turns A,3.3,0.48304589153964794,0.23333333333333334,3.0,4.0,3.0,1.0350983390135327
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Conversational turns B,2.3,0.48304589153964794,0.23333333333333334,2.0,3.0,2.0,1.0350983390135327
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,JSON Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Lose,0.6,0.5163977794943222,0.26666666666666666,1.0,1.0,0.0,-0.48412291827592685
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Main Score,76.36666666666666,30.636639889251946,938.6037037037034,83.33333333333333,100.0,0.0,-1.9481424479368097
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Parsed Request Count,7.9,1.4491376746189437,2.0999999999999996,7.0,10.0,7.0,1.0350983390135304
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Played,1.0,0.0,0.0,1.0,1.0,1.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Request Count,7.9,1.4491376746189437,2.0999999999999996,7.0,10.0,7.0,1.0350983390135304
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Request Success Ratio,1.0,0.0,0.0,1.0,1.0,1.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Success,0.4,0.5163977794943222,0.26666666666666666,0.0,1.0,0.0,0.48412291827592685
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Summarisation Penatly,0.7,1.3374935098492586,1.788888888888889,0.0,4.0,0.0,2.0758212993802596
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Task Success Rate,0.7666666666666666,0.3088209357708288,0.09537037037037037,0.8333333333333333,1.0,0.0,-1.9164130744153556
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Text Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,Violated Request Count,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,2_reprompt_5db,n Turns,3.3,0.48304589153964794,0.23333333333333334,3.0,4.0,3.0,1.0350983390135327
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Aborted,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Average Char Count A,147.341,71.332315016096,5088.299165555555,118.125,319.5,76.33,1.794232168171372
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Average Char Count B,247.80699999999996,73.96467190490337,5470.772690000002,263.58500000000004,334.5,64.33,-1.7986718248995652
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Average Sentence Count A,10.372,2.686119878188611,7.215239999999999,9.875,15.56,7.53,0.8291811382305284
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Average Sentence Count B,15.773,2.957570511979948,8.74722333333333,14.96,20.2,11.92,0.38848907865418375
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Average Word Count A,25.806,11.849679976925769,140.4149155555555,21.04,53.9,14.33,1.710339118665442
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Average Word Count B,43.777,11.827470895241204,139.88906777777777,46.0,53.5,12.0,-2.5309686722830205
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Conversational turns A,3.9,2.2335820757001272,4.988888888888889,3.0,10.0,2.0,2.698233534139259
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Conversational turns B,3.0,2.5385910352879697,6.4444444444444455,2.0,10.0,1.0,2.8015812183432183
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,JSON Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Lose,0.6,0.5163977794943222,0.26666666666666666,1.0,1.0,0.0,-0.48412291827592696
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Main Score,70.23333333333333,38.54035883666963,1485.3592592592593,79.16666666666666,100.0,0.0,-1.4461117530263314
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Parsed Request Count,9.9,7.309810759064376,53.433333333333316,7.0,30.0,4.0,2.7712096467011724
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Played,1.0,0.0,0.0,1.0,1.0,1.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Request Count,10.0,7.615773105863909,58.0,7.0,31.0,4.0,2.8015812183432183
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Request Success Ratio,0.9967741935483871,0.010200895677962509,0.00010405827263267418,1.0,1.0,0.967741935483871,-3.162277660168396
dialoguequest,grok-t0.0--grok-t0.0,3_reprompt_20db,Success,0.4,0.5163977794943222,0.26666666666666666,0.0,1.0,0.0,0.48412291827592696
