game,model,metric,mean,std,var,median,max,min,skew
dialoguequest,grok-t0.0--grok-t0.0,Aborted,0.025,0.15811388300841897,0.024999999999999998,0.0,1.0,0.0,6.324555320336759
dialoguequest,grok-t0.0--grok-t0.0,Average Char Count A,125.01875,46.736826537621184,2184.330954807692,107.83500000000001,278.5,71.33,1.9991039562830004
dialoguequest,grok-t0.0--grok-t0.0,Average Char Count B,254.51775000000004,94.15669388046713,8865.483002499997,256.0,484.0,54.0,0.1423730749070632
dialoguequest,grok-t0.0--grok-t0.0,Average Sentence Count A,10.01275,2.06143339164891,4.249507628205128,9.7,17.03,6.88,1.701196490898786
dialoguequest,grok-t0.0--grok-t0.0,Average Sentence Count B,17.36975,8.9319241581345,79.77926916666668,14.025,54.0,9.0,2.6782965100239133
dialoguequest,grok-t0.0--grok-t0.0,Average Word Count A,22.746000000000002,8.42948177985593,71.0561630769231,20.0,50.0,13.67,2.102534072878565
dialoguequest,grok-t0.0--grok-t0.0,Average Word Count B,45.093,16.3786797313944,268.26114974358967,44.75,81.0,11.0,0.029804520953414668
dialoguequest,grok-t0.0--grok-t0.0,Conversational turns A,3.325,1.4916433890176297,2.2249999999999996,3.0,10.0,2.0,3.1636620848142583
dialoguequest,grok-t0.0--grok-t0.0,Conversational turns B,2.35,1.610064499424695,2.5923076923076938,2.0,10.0,1.0,3.4669858917193705
dialoguequest,grok-t0.0--grok-t0.0,JSON Fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dialoguequest,grok-t0.0--grok-t0.0,Lose,0.3,0.46409548089225705,0.21538461538461534,0.0,1.0,0.0,0.9072543235487729
dialoguequest,grok-t0.0--grok-t0.0,Main Score,82.3076923076923,31.246836996921633,976.3648223121905,99.0,100.0,0.0,-1.9777375562204584
dialoguequest,grok-t0.0--grok-t0.0,Parsed Request Count,8.025,4.709442233836843,22.17884615384616,7.0,30.0,4.0,3.366551973419403
dialoguequest,grok-t0.0--grok-t0.0,Played,0.975,0.15811388300841897,0.024999999999999998,1.0,1.0,0.0,-6.324555320336758
dialoguequest,grok-t0.0--grok-t0.0,Request Count,8.075,4.7034493616319395,22.122435897435903,7.0,30.0,4.0,3.360431536678112
dialoguequest,grok-t0.0--grok-t0.0,Request Success Ratio,0.9927272727272728,0.03439915038104734,0.0011833015469379098,1.0,1.0,0.8,-5.125007694680281
dialoguequest,grok-t0.0--grok-t0.0,Success,0.675,0.47434164902525683,0.22499999999999995,1.0,1.0,0.0,-0.7766997761817076
dialoguequest,grok-t0.0--grok-t0.0,Summarisation Penatly,2.9,8.481654410459171,71.93846153846152,0.0,50.0,0.0,4.790594178517465
dialoguequest,grok-t0.0--grok-t0.0,Task Success Rate,0.8125,0.3390272241125463,0.11493945868945872,1.0,1.0,0.0,-1.7745914098780753
dialoguequest,grok-t0.0--grok-t0.0,Text Fail,0.025,0.15811388300841897,0.024999999999999998,0.0,1.0,0.0,6.324555320336759
dialoguequest,grok-t0.0--grok-t0.0,Violated Request Count,0.05,0.22072142786315227,0.04871794871794873,0.0,1.0,0.0,4.292145217726672
dialoguequest,grok-t0.0--grok-t0.0,n Turns,3.35,1.6100644994246947,2.5923076923076924,3.0,11.0,2.0,3.4669858917193705
dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,Aborted,0.25,0.4385290096535146,0.1923076923076923,0.0,1.0,0.0,1.2001846579990925
dialoguequest,llama-70b_uni-t0.0--llama-70b_uni-t0.0,Average Char Count A,174.74325,31.944239108853257,1020.4344122435898,174.0,264.4,113.5,0.5741122374000375
